Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
-0.349490772,0.0,0.0,1.122069305,0.0,0.0,0.0,0.0,-1.932916806,-0.811202262,1.63995105,-0.794658949,0.153216223,-0.264061376,1.253274259,0.0,-0.33824966,1.025098427,43.5
0.0,0.309160455,0.0,0.502409961,0.0,0.0,0.0,0.0,-0.280824322,-0.038945168,0.070030879,0.019870333,0.372084148,-0.222346364,0.284599779,-1.108771968,-0.33824966,-0.568451427,27.02
0.0,0.309160455,0.0,0.502409961,0.0,0.0,0.0,0.0,-0.280824322,-0.038945168,0.070030879,0.019870333,0.251122171,-0.222346364,0.284599779,-1.108771968,-0.33824966,-0.568451427,29.33
0.0,0.309160455,0.0,0.502409961,0.0,0.0,0.0,0.0,-0.280824322,-0.038945168,0.070030879,0.019870333,0.130160194,-0.222346364,0.284599779,-1.108771968,-0.33824966,-0.568451427,31.0
0.0,0.309160455,0.0,0.502409961,0.0,0.0,0.0,0.0,-0.280824322,-0.038945168,0.070030879,0.019870333,0.009198217,-0.222346364,0.284599779,-1.108771968,-0.33824966,-0.568451427,32.2
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,3.006477703,1.073122399,-0.222346364,0.672069571,0.0,-0.33824966,-0.568451427,48.53
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,3.006477703,1.073122399,0.02794371,0.672069571,0.0,-0.33824966,-0.568451427,53.8
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,3.006477703,1.073122399,0.278233784,0.672069571,0.0,-0.33824966,-0.568451427,53.92
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,3.006477703,1.073122399,0.528523857,0.672069571,0.0,-0.33824966,-0.568451427,53.99
0.0,0.0,0.0,0.502409961,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,3.006477703,1.073122399,0.02794371,0.284599779,0.0,-0.33824966,-0.568451427,47.54
